,support,itemsets
0,0.0779436152570481,frozenset({'6 RIBBONS RUSTIC CHARM'})
1,0.05306799336650083,frozenset({'ALARM CLOCK BAKELIKE PINK'})
2,0.05472636815920398,frozenset({'GUMBALL COAT RACK'})
3,0.06965174129353234,frozenset({'JAM MAKING SET PRINTED'})
4,0.05970149253731343,frozenset({'JUMBO BAG RED RETROSPOT'})
5,0.07628524046434494,frozenset({'JUMBO BAG WOODLAND ANIMALS'})
6,0.05970149253731343,frozenset({'LUNCH BAG WOODLAND'})
7,0.06467661691542288,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
8,0.087893864013267,frozenset({'PLASTERS IN TIN CIRCUS PARADE '})
9,0.0812603648424544,frozenset({'PLASTERS IN TIN SPACEBOY'})
10,0.05306799336650083,frozenset({'PLASTERS IN TIN STRONGMAN'})
11,0.1044776119402985,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'})
12,0.6202321724709784,frozenset({'POSTAGE'})
13,0.05306799336650083,frozenset({'RED RETROSPOT CHARLOTTE BAG'})
14,0.05306799336650083,frozenset({'RED RETROSPOT CUP'})
15,0.07296849087893864,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
16,0.1044776119402985,frozenset({'REGENCY CAKESTAND 3 TIER'})
17,0.11940298507462686,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS '})
18,0.1857379767827529,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '})
19,0.05306799336650083,frozenset({'SET OF 3 REGENCY CAKE TINS'})
20,0.0779436152570481,frozenset({'SPACEBOY LUNCH BOX '})
21,0.05970149253731343,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'})
22,0.09618573797678276,frozenset({'WOODLAND CHARLOTTE BAG'})
23,0.05140961857379768,frozenset({'WOODLAND PARTY BAG + STICKER SET'})
24,0.06965174129353234,"frozenset({'POSTAGE', '6 RIBBONS RUSTIC CHARM'})"
25,0.05638474295190713,"frozenset({'JAM MAKING SET PRINTED', 'POSTAGE'})"
26,0.06633499170812604,"frozenset({'JUMBO BAG WOODLAND ANIMALS', 'POSTAGE'})"
27,0.05140961857379768,"frozenset({'LUNCH BAG WOODLAND', 'POSTAGE'})"
28,0.05140961857379768,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN CIRCUS PARADE '})"
29,0.07628524046434494,"frozenset({'POSTAGE', 'PLASTERS IN TIN CIRCUS PARADE '})"
30,0.07628524046434494,"frozenset({'POSTAGE', 'PLASTERS IN TIN SPACEBOY'})"
31,0.05140961857379768,"frozenset({'POSTAGE', 'PLASTERS IN TIN STRONGMAN'})"
32,0.08955223880597014,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'POSTAGE'})"
33,0.05638474295190713,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND '})"
34,0.06135986733001658,"frozenset({'RED TOADSTOOL LED NIGHT LIGHT', 'POSTAGE'})"
35,0.0912106135986733,"frozenset({'POSTAGE', 'REGENCY CAKESTAND 3 TIER'})"
36,0.11442786069651742,"frozenset({'POSTAGE', 'ROUND SNACK BOXES SET OF 4 FRUITS '})"
37,0.17081260364842454,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND ', 'POSTAGE'})"
38,0.06965174129353234,"frozenset({'POSTAGE', 'SPACEBOY LUNCH BOX '})"
39,0.05140961857379768,"frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY', 'POSTAGE'})"
40,0.087893864013267,"frozenset({'POSTAGE', 'WOODLAND CHARLOTTE BAG'})"
41,0.09950248756218906,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND ', 'ROUND SNACK BOXES SET OF 4 FRUITS '})"
42,0.05306799336650083,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND ', 'SPACEBOY LUNCH BOX '})"
43,0.0945273631840796,"frozenset({'POSTAGE', 'ROUND SNACK BOXES SET OF4 WOODLAND ', 'ROUND SNACK BOXES SET OF 4 FRUITS '})"
